Name,Classify
dialuminium,Substance
monoxide,Substance
dialuminium,Substance
dioxide,Substance
aluminium,Substance
oxide,Substance
aluminium,Substance
silicate,Substance
aluminium,Substance
silicate,Substance
andalusite,Substance
aluminium,Substance
silicate,Substance
dialuminium,Substance
monosulfide,Substance
aluminium,Substance
sulfide,Substance
aluminium,Substance
sulfate,Substance
dialuminium,Substance
selenide,Substance
dialuminium,Substance
telluride,Substance
chiolite,Substance
beryllium,Substance
aluminium,Substance
oxide,Substance
mullite,Substance
argon,Substance
chloride,Substance
fluoride,Substance
argon,Substance
chloride,Substance
hydride,Substance
argon,Substance
fluoride,Substance
hydride,Substance
arsenic,Substance
oxybromide,Substance
arsenic,Substance
tribromide,Substance
arsenic,Substance
monoxide,Substance
monochloride,Substance
arsenic,Substance
trichloride,Substance
arsenic,Substance
oxychloride,Substance
arsenic,Substance
tetrachloride,Substance
fluoride,Substance
arsenic,Substance
trifluoride,Substance
arsenic,Substance
pentafluoride,Substance
arsine,Substance
arsenic,Substance
triiodide,Substance
arsenic,Substance
monoxide,Substance
arsenic,Substance
dioxide,Substance
arsenic,Substance
monophosphide,Substance
arsenic,Substance
triphosphide,Substance
thallium,Substance
arsenide,Substance
arsenic,Substance
diiodide,Substance
arsenic,Substance
trioxide,Substance
arsenic,Substance
diphosphide,Substance
arsenic,Substance
pentaoxide,Substance
arsenic,Substance
tetrasulfide,Substance
arsenic,Substance
pentasulfide,Substance
arsenic,Substance
hemiselenide,Substance
arsenic,Substance
triselenide,Substance
arsenic,Substance
pentaselenide,Substance
arsenic,Substance
tetraoxide,Substance
arsenic(III),Substance
phosphide,Substance
tetraarsenic,Substance
trioxide,Substance
tetraarsenic,Substance
pentaoxide,Substance
tetraarsenic,Substance
trisulfide,Substance
tetraarsenic,Substance
tetrasulfide,Substance
gold,Substance
monoboride,Substance
monoxide,Substance
gold,Substance
bromide,Substance
gold,Substance
tribromide,Substance
gold,Substance
cyanide,Substance
gold,Substance
chloride,Substance
gold,Substance
trichloride,Substance
gold,Substance
trifluoride,Substance
gold,Substance
iodide,Substance
gold(III),Substance
iodide,Substance
gold,Substance
hydroxide,Substance
gold,Substance
telluride,Substance
gold,Substance
trioxide,Substance
gold,Substance
sulfide,Substance
gold,Substance
trisulfide,Substance
gold,Substance
triselenate,Substance
gold,Substance
triselenide,Substance
boron,Substance
arsenide,Substance
boron(III),Substance
arsenate,Substance
boron,Substance
tribromide,Substance
boron,Substance
trichloride,Substance
boron,Substance
trifluoride,Substance
boron,Substance
iodide,Substance
boron,Substance
nitride,Substance
boric,Substance
acid,Substance
boron(III),Substance
phosphide,Substance
boron(III),Substance
orthophosphate,Substance
boron,Substance
chloride,Substance
boron,Substance
trifluoride,Substance
boron,Substance
hydride,Substance
boron(III),Substance
oxide,Substance
boron,Substance
sulfide,Substance
borazine,Substance
boron,Substance
carbide,Substance
barium,Substance
aluminate,Substance
barium,Substance
arsenite,Substance
barium,Substance
arsenate,Substance
barium,Substance
hexaboride,Substance
barium,Substance
bromate,Substance
monohydrate,Substance
barium,Substance
bromate,Substance
dihydrate,Substance
barium,Substance
bromide,Substance
barium,Substance
formate,Substance
barium,Substance
acetate,Substance
barium,Substance
cyanide,Substance
barium,Substance
oxalate,Substance
barium,Substance
carbide,Substance
barium,Substance
carbonate,Substance
witherite,Substance
barium,Substance
perchlorate,Substance
barium,Substance
chloride,Substance
barium,Substance
chromate,Substance
barium,Substance
chromate(VI),Substance
barium,Substance
fluoride,Substance
gillespite,Substance
barium,Substance
tetraiodomercurate(II),Substance
barium,Substance
iodide,Substance
barium,Substance
potassium,Substance
chromate,Substance
barium,Substance
manganate,Substance
barium,Substance
permanganate,Substance
barium,Substance
molybdate,Substance
barium,Substance
azide,Substance
barium,Substance
nitrite,Substance
barium,Substance
nitrate,Substance
barium,Substance
niobate,Substance
barium,Substance
metaniobate,Substance
barium,Substance
oxide,Substance
barium,Substance
hydroxide,Substance
baryta,Substance
barium,Substance
dioxide,Substance
barium,Substance
metaphosphate,Substance
barium,Substance
sulfide,Substance
barium,Substance
thiocyanate,Substance
barium,Substance
thiosulfate,Substance
barium,Substance
hexafluorosilicate,Substance
barium,Substance
sulfite,Substance
barium,Substance
sulfate,Substance
barite,Substance
barium,Substance
selenide,Substance
barium,Substance
selenite,Substance
barium,Substance
selenate,Substance
barium,Substance
metasilicate,Substance
barium,Substance
silicide,Substance
barium,Substance
disilicate,Substance
barium,Substance
stannate,Substance
barium,Substance
tellurite,Substance
barium,Substance
tellurate,Substance
trihydrate,Substance
barium,Substance
titanate,Substance
barium,Substance
metatitanate,Substance
barium,Substance
uranium,Substance
oxide,Substance
barium,Substance
tungstate,Substance
barium,Substance
zirconate,Substance
barium,Substance
sodium,Substance
niobate,Substance
barium,Substance
pyrophosphate,Substance
barium,Substance
pyrovanadate,Substance
barium,Substance
perxenate,Substance
barium,Substance
chromate(V),Substance
barium,Substance
nitride,Substance
barium,Substance
orthophosphate,Substance
barium,Substance
orthovandate,Substance
beryllium,Substance
boride,Substance
beryllium,Substance
borohydride,Substance
beryllium,Substance
bromide,Substance
beryllium,Substance
formate,Substance
beryllium,Substance
acetate,Substance
beryllium,Substance
acetylacetonate,Substance
beryllium,Substance
chloride,Substance
beryllium,Substance
fluoride,Substance
beryllium,Substance
iodide,Substance
beryllium,Substance
oxide,Substance
bromellite,Substance
beryllium,Substance
hydroxide,Substance
beryllium,Substance
sulfide,Substance
beryllium,Substance
sulfate,Substance
beryllium,Substance
carbide,Substance
beryllium,Substance
nitride,Substance
bismuth(III),Substance
orthoborate,Substance
bismuth(III),Substance
bromide,Substance
bismuth(III),Substance
acetate,Substance
bismuth(III),Substance
citrate,Substance
bismuth(III),Substance
chloride,Substance
bismuth(III),Substance
fluoride,Substance
bismuth(III),Substance
iodide,Substance
bismuth(III),Substance
nitrate,Substance
pentahydrate,Substance
bismuth(III),Substance
oxychloride,Substance
bismuth(III),Substance
oxyiodide,Substance
bismuth,Substance
oxycarbonate,Substance
bismuth(III),Substance
orthophosphate,Substance
bismuth(III),Substance
metavanadate,Substance
bismuth(III),Substance
selenide,Substance
bismuth,Substance
selenide,Substance
bismuth(III),Substance
molybdate,Substance
bismuth(III),Substance
oxide,Substance
bismuth(III),Substance
sulfide,Substance
bismuthinite,Substance
bismuth(III),Substance
selenide,Substance
bromine,Substance
chloride,Substance
bromate,Substance
ion,Substance
bromine,Substance
dichlorodifluoromethane,Substance
freon-12,Substance
carbon,Substance
tetrachloride,Substance
tetrachloromethane,Substance
freon-11,Substance
freon-13,Substance
chloroform,Substance
trichloromethane,Substance
methyl,Substance
trichloride,Substance
formate,Substance
ion,Substance
ketene,Substance
chloroacetic,Substance
acid,Substance
dichloromethane,Substance
formaldehyde,Substance
ethylene,Substance
glycol,Substance
propyne,Substance
2-butene,Substance
propene,Substance
acetaldehyde,Substance
bromoethane,Substance
butan-1-ol,Substance
1-propanol,Substance
propan-1-ol,Substance
propanamide,Substance
propionic,Substance
acid,Substance
diethyl,Substance
ether,Substance
ethoxyethane,Substance
ethanol,Substance
stearic,Substance
acid,Substance
acetone,Substance
acetyl,Substance
chloride,Substance
acetamide,Substance
ethanamide,Substance
acetate,Substance
ion,Substance
vinyl,Substance
acetate,Substance
benzyl,Substance
acetate,Substance
isoamyl,Substance
acetate,Substance
acetic,Substance
acid,Substance
ethanoic,Substance
acid,Substance
chloromethane,Substance
methyl,Substance
chloride,Substance
iodomethane,Substance
methyl,Substance
iodide,Substance
dimethyl,Substance
ether,Substance
methanol,Substance
dimethyl,Substance
sulfide,Substance
DMS,Substance
methanethiol,Substance
isopropyl,Substance
alcohol,Substance
2-propanol,Substance
propan-2-ol,Substance
isopropanol,Substance
acetone,Substance
dimethyl,Substance
oxalate,Substance
dimethyl,Substance
hydrazine,Substance
dimethylsulfoniopropionate,Substance
DMSP,Substance
t-butyl,Substance
chloride,Substance
t-butyl,Substance
alcohol,Substance
di-t-butyl,Substance
peroxide,Substance
DTBP,Substance
methane,Substance
natural,Substance
gas,Substance
cyanide,Substance
ion,Substance
guanidine,Substance
nitrate,Substance
cyanate,Substance
ion,Substance
carbon,Substance
monoxide,Substance
phosgene,Substance
carbon,Substance
dioxide,Substance
carbon,Substance
trioxide,Substance
carbonate,Substance
ion,Substance
carbon,Substance
disulfide,Substance
tetrafluoroethylene,Substance
acetylene,Substance
vinyl,Substance
chloride,Substance
acetate,Substance
ion,Substance
ethylene,Substance
ethylene,Substance
dichloride,Substance
acetic,Substance
acid,Substance
bromoethane,Substance
ethylamine,Substance
glycine,Substance
Gly,Substance
ethoxide,Substance
ion,Substance
ethanol,Substance
ethyl,Substance
alcohol,Substance
diethylamine,Substance
ethane,Substance
dimethyl,Substance
sulfoxide,Substance
DMSO,Substance
oxalate,Substance
ion,Substance
malonate,Substance
ion,Substance
nitroglycerine,Substance
cyclopropane,Substance
propylene,Substance
alanine,Substance
Ala,Substance
cysteine,Substance
Cys,Substance
serine,Substance
Ser,Substance
propane,Substance
propanol,Substance
1-propanol,Substance
2-propanol,Substance
cyanuric,Substance
acid,Substance
cyanuric,Substance
triazide,Substance
2-bromobutyric,Substance
acid,Substance
4-bromobutyric,Substance
acid,Substance
ethyl,Substance
bromoacetate,Substance
aspartic,Substance
acid,Substance
Asp,Substance
cyclobutane,Substance
asparagine,Substance
Asn,Substance
tetrahydrofuran,Substance
THF,Substance
threonine,Substance
Thr,Substance
butyl,Substance
alcohol,Substance
butane,Substance
2-methylpropane,Substance
diethyl,Substance
ether,Substance
niacin,Substance
cyclopentadienyl,Substance
anion,Substance
pyridine,Substance
proline,Substance
Pro,Substance
glutamic,Substance
acid,Substance
Glu,Substance
cyclopentane,Substance
glutamine,Substance
Gln,Substance
deoxyribose,Substance
valine,Substance
Val,Substance
methionine,Substance
Met,Substance
pentane,Substance
pentafluorobenzoic,Substance
acid,Substance
orthobenzoquinone,Substance
parabenzoquinone,Substance
quinone,Substance
benzaldehyde,Substance
benzyl,Substance
alcohol,Substance
benzoyl,Substance
chloride,Substance
benzoate,Substance
ion,Substance
benzoic,Substance
acid,Substance
fluorobenzene,Substance
phenol,Substance
citrate,Substance
ion,Substance
tetraphenylgermane,Substance
benzene,Substance
catechol,Substance
benzenediols,Substance
hydroquinone,Substance
resorcinol,Substance
citric,Substance
acid,Substance
histidine,Substance
His,Substance
4-acetylbutyric,Substance
acid,Substance
butyl,Substance
glyoxylate,Substance
ethyl,Substance
acetoacetate,Substance
2-hydroxypropyl,Substance
acrylate,Substance
pantolactone,Substance
propyl,Substance
pyruvate,Substance
cyclohexane,Substance
fructose,Substance
glucose,Substance
N-ethylmorpholine,Substance
isoleucine,Substance
Ile,Substance
leucine,Substance
Leu,Substance
hexane,Substance
lysine,Substance
Lys,Substance
arginine,Substance
Arg,Substance
toluene,Substance
heptane,Substance
cubane,Substance
acetaminophen,Substance
octane,Substance
acetylsalicylic,Substance
acid,Substance
aspirin,Substance
phenylalanine,Substance
Phe,Substance
tyrosine,Substance
Tyr,Substance
nonane,Substance
naphthalene,Substance
mentha,Substance
spicata,Substance
herb,Substance
oil,Substance
ephedrine,Substance
camphor,Substance
decane,Substance
tryptophan,Substance
Trp,Substance
undecane,Substance
biphenyl,Substance
maltose,Substance
sucrose,Substance
dodecane,Substance
benzophenone,Substance
íô-ionone,Substance
tridecane,Substance
anthracene,Substance
benzoyl,Substance
peroxide,Substance
aspartame,Substance
tetradecane,Substance
pentadecane,Substance
hexadecane,Substance
heptadecane,Substance
linoleic,Substance
acid,Substance
stearic,Substance
acid,Substance
octadecane,Substance
nonadecane,Substance
quinine,Substance
eicosane,Substance
Coenzyme,Substance
A,Substance
maitotoxin,Substance
Chlorine,Substance
octaoxide,Substance
calcium,Substance
boride,Substance
calcium,Substance
bromide,Substance
calcium,Substance
cyanide,Substance
calcium,Substance
carbonate,Substance
spent,Substance
lime,Substance
calcite,Substance
limestone,Substance
marble,Substance
calcium,Substance
carbide,Substance
calcium,Substance
formate,Substance
calcium,Substance
acetate,Substance
calcium,Substance
oxalate,Substance
calcium,Substance
cyanamide,Substance
calcium,Substance
chloride,Substance
calcium,Substance
chlorate,Substance
calcium,Substance
perchlorate,Substance
calcium,Substance
fluoride,Substance
fluorite,Substance
calcium,Substance
hydride,Substance
calcium,Substance
hypophosphite,Substance
calcium,Substance
iodide,Substance
calcium,Substance
iodate,Substance
calcium,Substance
molybdate,Substance
calcium,Substance
nitrite,Substance
calcium,Substance
nitrate,Substance
Calcium,Substance
nitrate,Substance
tetrahydrate,Substance
calcium,Substance
metaniobate,Substance
quicklime,Substance
calcium,Substance
oxide,Substance
burnt,Substance
lime,Substance
calcium,Substance
hypochlorite,Substance
calcium,Substance
hydroxide,Substance
slaked,Substance
lime,Substance
calcium,Substance
peroxide,Substance
calcium,Substance
sulfide,Substance
hepar,Substance
calcies,Substance
sulfurated,Substance
lime,Substance
oldhamite,Substance
calcium,Substance
sulfate,Substance
whiskers,Substance
crystal,Substance
plaster,Substance
of,Substance
paris,Substance
calcium,Substance
sulfate,Substance
hemihydrate,Substance
calcium,Substance
selenide,Substance
calcium,Substance
selenite,Substance
calcium,Substance
selenate,Substance
calcium,Substance
metasilicate,Substance
wollastonite,Substance
calcium,Substance
telluride,Substance
calcium,Substance
tellurite,Substance
calcium,Substance
tellurate,Substance
calcium,Substance
titanate,Substance
calcium,Substance
metavanadate,Substance
calcium,Substance
orthovanadate,Substance
calcium,Substance
tungstate,Substance
calcium,Substance
nitride,Substance
calcium,Substance
phosphide,Substance
cadmium,Substance
bromide,Substance
cadmium,Substance
cyanide,Substance
cadmium,Substance
carbonate,Substance
cadmium,Substance
acetate,Substance
cadmium,Substance
oxalate,Substance
cadmium,Substance
chloride,Substance
cadmium,Substance
chromate,Substance
cadmium,Substance
fluoride,Substance
cadmium,Substance
iodide,Substance
cadmium,Substance
iodate,Substance
cadmium,Substance
molybdate,Substance
cadmium,Substance
nitrate,Substance
cadmium,Substance
azide,Substance
cadmium,Substance
oxide,Substance
cadmium,Substance
hydroxide,Substance
cadmium,Substance
sulfide,Substance
greenockite,Substance
cadmium,Substance
sulfite,Substance
cadmium,Substance
sulfate,Substance
cadmium,Substance
antimonide,Substance
cadmium,Substance
selenide,Substance
cadmoselite,Substance
cadmium,Substance
selenite,Substance
cadmium,Substance
metasilicate,Substance
cadmium,Substance
metatantalate,Substance
cadmium,Substance
telluride,Substance
cadmium,Substance
tellurate,Substance
cadmium,Substance
titanate,Substance
cadmium,Substance
tungstate,Substance
cadmium,Substance
metazirconate,Substance
cadmium,Substance
niobate,Substance
cadmium,Substance
arsenide,Substance
cadmium,Substance
phosphide,Substance
cadmium,Substance
phosphate,Substance
cerium,Substance
boride,Substance
cerium(III),Substance
bromide,Substance
cerium,Substance
carbide,Substance
cerium(III),Substance
chloride,Substance
cerium(III),Substance
fluoride,Substance
cerium(IV),Substance
fluoride,Substance
cerium(II),Substance
iodide,Substance
cerium(III),Substance
iodide,Substance
cerium,Substance
nitride,Substance
cerium(IV),Substance
oxide,Substance
cerianite,Substance
cerium(II),Substance
sulfide,Substance
cerium(IV),Substance
sulfate,Substance
cerium,Substance
silicide,Substance
cerium(III),Substance
carbide,Substance
cerium(III),Substance
oxide,Substance
cerium(III),Substance
sulfide,Substance
chlorine,Substance
fluoride,Substance
chlorine,Substance
trifluoride,Substance
chlorine,Substance
pentafluoride,Substance
chlorine,Substance
perchlorate,Substance
chlorine,Substance
dioxide,Substance
chlorine,Substance
trioxide,Substance
fluoride,Substance
chlorine,Substance
chlorine,Substance
trioxide,Substance
chlorine,Substance
hexoxide,Substance
chlorine,Substance
heptoxide,Substance
cobalt(II),Substance
aluminate,Substance
cobalt,Substance
arsenide,Substance
cobalt(II),Substance
arsenide,Substance
cobalt(II),Substance
boride,Substance
cobalt(II),Substance
bromide,Substance
cobalt(II),Substance
cyanide,Substance
cobalt(II),Substance
acetate,Substance
cobalt(III),Substance
acetate,Substance
cobalt(II),Substance
oxalate,Substance
cobalt(II),Substance
perchlorate,Substance
cobalt(II),Substance
chloride,Substance
cobalt(II),Substance
chromate,Substance
cobalt(II),Substance
chromite,Substance
cobalt(II),Substance
fluoride,Substance
cobalt(III),Substance
fluoride,Substance
cobalt(II),Substance
iodate,Substance
cobalt(II),Substance
iodide,Substance
cobalt(II),Substance
molybdate,Substance
cobalt(II),Substance
nitrate,Substance
cobalt(III),Substance
nitrate,Substance
cobalt(II),Substance
oxide,Substance
cobalt(II),Substance
hydroxide,Substance
cobalt(III),Substance
hydroxide,Substance
cobalt(II),Substance
sulfide,Substance
cobalt,Substance
disulfide,Substance
cobalt,Substance
antimonide,Substance
cobalt(II),Substance
selenide,Substance
cobalt(II),Substance
selenite,Substance
cobalt(II),Substance
telluride,Substance
cobalt(II),Substance
titanate,Substance
cobalt(II),Substance
tungstate,Substance
cobalt,Substance
boride,Substance
cobalt(II),Substance
sulfate,Substance
cobalt(III),Substance
sulfide,Substance
cobalt(II),Substance
orthosilicate,Substance
cobalt(II),Substance
stannate,Substance
cobalt(II),Substance
titanite,Substance
cobalt(II),Substance
ferricyanide,Substance
chromium(II),Substance
bromide,Substance
chromium(III),Substance
bromide,Substance
chromium(II),Substance
chloride,Substance
chromium(III),Substance
chloride,Substance
chromium(IV),Substance
chloride,Substance
chromium(II),Substance
fluoride,Substance
chromium(III),Substance
fluoride,Substance
chromium(IV),Substance
fluoride,Substance
chromium(V),Substance
fluoride,Substance
chromium(VI),Substance
fluoride,Substance
chromium(II),Substance
iodide,Substance
chromium(III),Substance
iodide,Substance
chromium(III),Substance
nitrate,Substance
chromium(III),Substance
nitrite,Substance
chromium(IV),Substance
oxide,Substance
chromium(VI),Substance
oxide,Substance
chromate,Substance
ion,Substance
chromium(VI),Substance
oxychloride,Substance
chromium(III),Substance
phosphate,Substance
chromium,Substance
antimonide,Substance
chromium(III),Substance
orthovanadate,Substance
chromium(III),Substance
oxide,Substance
eskolaite,Substance
chromium(III),Substance
sulfate,Substance
chromium(III),Substance
sulfide,Substance
chromium(III),Substance
selenide,Substance
chromium(III),Substance
tellurate,Substance
chromium(III),Substance
telluride,Substance
chromium(II),Substance
arsenide,Substance
chromium(II),Substance
carbide,Substance
chromium(II),Substance
antimonide,Substance
chromium(II),Substance
silicide,Substance
caesium,Substance
borate,Substance
caesium,Substance
bromide,Substance
caesium,Substance
bromate,Substance
caesium,Substance
tribromide,Substance
caesium,Substance
cyanide,Substance
caesium,Substance
acetate,Substance
caesium,Substance
chloride,Substance
caesium,Substance
chlorate,Substance
caesium,Substance
perchlorate,Substance
caesium,Substance
fluoride,Substance
caesium,Substance
iodide,Substance
caesium,Substance
triiodide,Substance
caesium,Substance
amide,Substance
caesium,Substance
nitrate,Substance
caesium,Substance
azide,Substance
caesium,Substance
metaniobate,Substance
caesium,Substance
hydroxide,Substance
caesium,Substance
superoxide,Substance
caesium,Substance
sulfide,Substance
caesium,Substance
thiocyanate,Substance
caesium,Substance
selenate,Substance
caesium,Substance
metatantalate,Substance
caesium,Substance
carbonate,Substance
caesium,Substance
oxalate,Substance
caesium,Substance
chromate,Substance
caesium,Substance
dichromate,Substance
caesium,Substance
hydrogen,Substance
orthophosphate,Substance
caesium,Substance
molybdate,Substance
caesium,Substance
oxide,Substance
caesium,Substance
sulfite,Substance
caesium,Substance
sulfate,Substance
caesium,Substance
metasilicate,Substance
caesium,Substance
tellurate,Substance
caesium,Substance
titanate,Substance
caesium,Substance
metatitanate,Substance
caesium,Substance
orthotungstate,Substance
caesium,Substance
orthophosphate,Substance
caesium,Substance
orthovanadate,Substance
copper(I),Substance
bromide,Substance
copper(II),Substance
bromate,Substance
hexahydrate,Substance
copper(II),Substance
bromide,Substance
copper,Substance
oxalate,Substance
copper(I),Substance
chloride,Substance
copper(II),Substance
chlorate,Substance
hexahydrate,Substance
copper(II),Substance
chloride,Substance
copper,Substance
iron,Substance
sulfide,Substance
chalcopyrite,Substance
copper(II),Substance
iron(II),Substance
oxide,Substance
copper,Substance
iron,Substance
sulfide,Substance
cubanite,Substance
blue,Substance
vitriol,Substance
copper(I),Substance
iodide,Substance
copper(I),Substance
iodate,Substance
copper(II),Substance
iodate,Substance
copper(II),Substance
orthomolybdate,Substance
copper(II),Substance
nitrate,Substance
copper(II),Substance
nitrate,Substance
trihydrate,Substance
copper(II),Substance
nitrate,Substance
hexahydrate,Substance
copper(II),Substance
orthoniobate,Substance
copper(II),Substance
oxide,Substance
copper(II),Substance
hydroxide,Substance
Verdigris,Substance
copper(II),Substance
sulfide,Substance
covellite,Substance
copper(I),Substance
thiocyanate,Substance
copper(II),Substance
sulfate,Substance
copper(II),Substance
sulfate,Substance
pentahydrate,Substance
copper(II),Substance
selenide,Substance
copper(II),Substance
selenite,Substance
dihydrate,Substance
copper(II),Substance
selenate,Substance
pentahydride,Substance
copper(II),Substance
metasilicate,Substance
copper(II),Substance
telluride,Substance
copper(II),Substance
tellurite,Substance
copper(II),Substance
metatitanate,Substance
copper(II),Substance
metavanadate,Substance
copper(II),Substance
orthotungstate,Substance
malachite,Substance
copper(I),Substance
sulfide,Substance
chalcocite,Substance
copper(I),Substance
selenide,Substance
copper(I),Substance
telluride,Substance
copper(I),Substance
arsenide,Substance
copper(I),Substance
phosphide,Substance
copper(II),Substance
phosphate,Substance
copper(III),Substance
antimonide,Substance
copper,Substance
sulfide,Substance
digenite,Substance
brass,Substance
calcium,Substance
boride,Substance
calcium,Substance
bromide,Substance
calcium,Substance
cyanide,Substance
calcium,Substance
carbonate,Substance
spent,Substance
lime,Substance
calcite,Substance
limestone,Substance
marble,Substance
calcium,Substance
carbide,Substance
calcium,Substance
formate,Substance
calcium,Substance
acetate,Substance
calcium,Substance
oxalate,Substance
calcium,Substance
cyanamide,Substance
calcium,Substance
chloride,Substance
calcium,Substance
chlorate,Substance
calcium,Substance
perchlorate,Substance
calcium,Substance
fluoride,Substance
fluorite,Substance
calcium,Substance
hydride,Substance
calcium,Substance
hypophosphite,Substance
calcium,Substance
iodide,Substance
calcium,Substance
iodate,Substance
calcium,Substance
molybdate,Substance
calcium,Substance
nitrite,Substance
calcium,Substance
nitrate,Substance
Calcium,Substance
nitrate,Substance
tetrahydrate,Substance
calcium,Substance
metaniobate,Substance
quicklime,Substance
calcium,Substance
oxide,Substance
burnt,Substance
lime,Substance
calcium,Substance
hypochlorite,Substance
calcium,Substance
hydroxide,Substance
slaked,Substance
lime,Substance
calcium,Substance
peroxide,Substance
calcium,Substance
sulfide,Substance
hepar,Substance
calcies,Substance
sulfurated,Substance
lime,Substance
oldhamite,Substance
calcium,Substance
sulfate,Substance
whiskers,Substance
crystal,Substance
plaster,Substance
of,Substance
paris,Substance
calcium,Substance
sulfate,Substance
hemihydrate,Substance
calcium,Substance
selenide,Substance
calcium,Substance
selenite,Substance
calcium,Substance
selenate,Substance
calcium,Substance
metasilicate,Substance
wollastonite,Substance
calcium,Substance
telluride,Substance
calcium,Substance
tellurite,Substance
calcium,Substance
tellurate,Substance
calcium,Substance
titanate,Substance
calcium,Substance
metavanadate,Substance
calcium,Substance
orthovanadate,Substance
calcium,Substance
tungstate,Substance
calcium,Substance
nitride,Substance
calcium,Substance
phosphide,Substance
cadmium,Substance
bromide,Substance
cadmium,Substance
cyanide,Substance
cadmium,Substance
carbonate,Substance
cadmium,Substance
acetate,Substance
cadmium,Substance
oxalate,Substance
cadmium,Substance
chloride,Substance
cadmium,Substance
chromate,Substance
cadmium,Substance
fluoride,Substance
cadmium,Substance
iodide,Substance
cadmium,Substance
iodate,Substance
cadmium,Substance
molybdate,Substance
cadmium,Substance
nitrate,Substance
cadmium,Substance
azide,Substance
cadmium,Substance
oxide,Substance
cadmium,Substance
hydroxide,Substance
cadmium,Substance
sulfide,Substance
greenockite,Substance
cadmium,Substance
sulfite,Substance
cadmium,Substance
sulfate,Substance
cadmium,Substance
antimonide,Substance
cadmium,Substance
selenide,Substance
cadmoselite,Substance
cadmium,Substance
selenite,Substance
cadmium,Substance
metasilicate,Substance
cadmium,Substance
metatantalate,Substance
cadmium,Substance
telluride,Substance
cadmium,Substance
tellurate,Substance
cadmium,Substance
titanate,Substance
cadmium,Substance
tungstate,Substance
cadmium,Substance
metazirconate,Substance
cadmium,Substance
niobate,Substance
cadmium,Substance
arsenide,Substance
cadmium,Substance
phosphide,Substance
cadmium,Substance
phosphate,Substance
cerium,Substance
boride,Substance
cerium(III),Substance
